rain_s,month,PRCPs1,TMAXs1,TMINs1,rain_s1,PRCPj1,SNOWj1,SNWDj1,TMAXj1,TMINj1,prec_j1,PRCPs2,TMAXs2,TMINs2,rain_s2,PRCPj2,SNOWj2,SNWDj2,TMAXj2,TMINj2,prec_j2,PRCPs3,TMAXs3,TMINs3,rain_s3,PRCPj3,SNOWj3,SNWDj3,TMAXj3,TMINj3,prec_j3
1,1,0.42,45,35,1,0,0,46,25,14,0,0.59,45,36,1,0,0,46,39,24,0,0.47,51,42,1,0,0,48,40,33,0
1,1,0.31,45,34,1,0.26,2,48,28,14,1,0.42,45,35,1,0,0,46,25,14,0,0.59,45,36,1,0,0,46,39,24,0
1,1,0.17,45,32,1,0,0,47,25,23,0,0.31,45,34,1,0.26,2,48,28,14,1,0.42,45,35,1,0,0,46,25,14,0
1,1,0.44,48,39,1,0,0,45,38,20,0,0.17,45,32,1,0,0,47,25,23,0,0.31,45,34,1,0.26,2,48,28,14,1
1,1,0.41,50,40,1,0,0,43,37,27,0,0.44,48,39,1,0,0,45,38,20,0,0.17,45,32,1,0,0,47,25,23,0
1,1,0.04,48,35,1,0,0,43,30,25,0,0.41,50,40,1,0,0,43,37,27,0,0.44,48,39,1,0,0,45,38,20,0
1,1,0.12,50,31,1,0,0,42,29,19,0,0.04,48,35,1,0,0,43,30,25,0,0.41,50,40,1,0,0,43,37,27,0
1,1,0.74,43,34,1,0,0,42,27,18,0,0.12,50,31,1,0,0,42,29,19,0,0.04,48,35,1,0,0,43,30,25,0
0,1,0.01,42,32,1,0,0,40,25,19,0,0.74,43,34,1,0,0,42,27,18,0,0.12,50,31,1,0,0,42,29,19,0
0,1,0,41,26,0,0,0,40,43,20,0,0.01,42,32,1,0,0,40,25,19,0,0.74,43,34,1,0,0,42,27,18,0
0,1,0,45,29,0,0.25,3,43,41,35,1,0,41,26,0,0,0,40,43,20,0,0.01,42,32,1,0,0,40,25,19,0
0,1,0,38,26,0,0.6,0,40,37,33,1,0,45,29,0,0.25,3,43,41,35,1,0,41,26,0,0,0,40,43,20,0
0,1,0,34,31,0,0,0,40,38,34,0,0,38,26,0,0.6,0,40,37,33,1,0,45,29,0,0.25,3,43,41,35,1
0,1,0,34,28,0,0.15,0,38,39,34,1,0,34,31,0,0,0,40,38,34,0,0,38,26,0,0.6,0,40,37,33,1
0,1,0,35,29,0,0,0,38,43,36,0,0,34,28,0,0.15,0,38,39,34,1,0,34,31,0,0,0,40,38,34,0
0,1,0,33,28,0,0,0,38,41,34,0,0,35,29,0,0,0,38,43,36,0,0,34,28,0,0.15,0,38,39,34,1
0,1,0,34,27,0,0,0,38,37,32,0,0,33,28,0,0,0,38,41,34,0,0,35,29,0,0,0,38,43,36,0
0,1,0,36,29,0,0,0,38,44,33,0,0,34,27,0,0,0,38,37,32,0,0,33,28,0,0,0,38,41,34,0
1,1,0,48,32,0,0,0,36,42,33,0,0,36,29,0,0,0,38,44,33,0,0,34,27,0,0,0,38,37,32,0
0,1,0.21,47,44,1,0.3,0,34,39,31,1,0,48,32,0,0,0,36,42,33,0,0,36,29,0,0,0,38,44,33,0
1,1,0,47,43,0,0,0,34,39,28,0,0.21,47,44,1,0.3,0,34,39,31,1,0,48,32,0,0,0,36,42,33,0
0,1,0.1,45,34,1,0,0,34,33,21,0,0,47,43,0,0,0,34,39,28,0,0.21,47,44,1,0.3,0,34,39,31,1
0,1,0,46,30,0,0,0,34,31,22,0,0.1,45,34,1,0,0,34,33,21,0,0,47,43,0,0,0,34,39,28,0
0,1,0,45,32,0,0.43,5,39,32,29,1,0,46,30,0,0,0,34,31,22,0,0.1,45,34,1,0,0,34,33,21,0
