DATE,PRCP,TMAX,TMIN,RAIN,,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT14,WT16
1/1/1948,0.47,51,42,TRUE,,1/1/1948,,,,,0,0,48,40,33,38,,,,,,,,,,,
1/2/1948,0.59,45,36,TRUE,,1/2/1948,,,,,0,0,46,39,24,25,,,,,,,,,,,
1/3/1948,0.42,45,35,TRUE,,1/3/1948,,,,,0,0,46,25,14,17,,,,,,,,,,,
1/4/1948,0.31,45,34,TRUE,,1/4/1948,,,,,0.26,2,48,28,14,25,,,,,,,,,,,
1/5/1948,0.17,45,32,TRUE,,1/5/1948,,,,,0,0,47,25,23,24,,,,,,,,,,,
1/6/1948,0.44,48,39,TRUE,,1/6/1948,,,,,0,0,45,38,20,34,,,,,,,,,,,
1/7/1948,0.41,50,40,TRUE,,1/7/1948,,,,,0,0,43,37,27,28,,,,,,,,,,,
1/8/1948,0.04,48,35,TRUE,,1/8/1948,,,,,0,0,43,30,25,29,,,,,,,,,,,
1/9/1948,0.12,50,31,TRUE,,1/9/1948,,,,,0,0,42,29,19,27,,,,,,,,,,,
1/10/1948,0.74,43,34,TRUE,,1/10/1948,,,,,0,0,42,27,18,25,,,,,,,,,,,
1/11/1948,0.01,42,32,TRUE,,1/11/1948,,,,,0,0,40,25,19,21,,,,,,,,,,,
1/12/1948,0,41,26,FALSE,,1/12/1948,,,,,0,0,40,43,20,41,,,,,,,,,,,
1/13/1948,0,45,29,FALSE,,1/13/1948,,,,,0.25,3,43,41,35,36,,,,,,,,,,,
1/14/1948,0,38,26,FALSE,,1/14/1948,,,,,0.6,0,40,37,33,36,,,,,,,,,,,
1/15/1948,0,34,31,FALSE,,1/15/1948,,,,,0,0,40,38,34,37,,,,,,,,,,,
1/16/1948,0,34,28,FALSE,,1/16/1948,,,,,0.15,0,38,39,34,38,,,,,,,,,,,
1/17/1948,0,35,29,FALSE,,1/17/1948,,,,,0,0,38,43,36,40,,,,,,,,,,,
1/18/1948,0,33,28,FALSE,,1/18/1948,,,,,0,0,38,41,34,36,,,,,,,,,,,
1/19/1948,0,34,27,FALSE,,1/19/1948,,,,,0,0,38,37,32,33,,,,,,,,,,,
1/20/1948,0,36,29,FALSE,,1/20/1948,,,,,0,0,38,44,33,41,,,,,,,,,,,
1/21/1948,0,48,32,FALSE,,1/21/1948,,,,,0,0,36,42,33,34,,,,,,,,,,,
1/22/1948,0.21,47,44,TRUE,,1/22/1948,,,,,0.3,0,34,39,31,37,,,,,,,,,,,
1/23/1948,0,47,43,FALSE,,1/23/1948,,,,,0,0,34,39,28,32,,,,,,,,,,,
1/24/1948,0.1,45,34,TRUE,,1/24/1948,,,,,0,0,34,33,21,26,,,,,,,,,,,
1/25/1948,0,46,30,FALSE,,1/25/1948,,,,,0,0,34,31,22,30,,,,,,,,,,,
1/26/1948,0,45,32,FALSE,,1/26/1948,,,,,0.43,5,39,32,29,31,,,,,,,,,,,
1/27/1948,0,53,33,FALSE,,1/27/1948,,,,,0.22,0,37,40,31,38,,,,,,,,,,,
1/28/1948,0,53,25,FALSE,,1/28/1948,,,,,0,0,37,39,33,35,,,,,,,,,,,
1/29/1948,0.22,42,34,TRUE,,1/29/1948,,,,,0,0,36,35,30,33,,,,,,,,,,,
1/30/1948,0.03,47,30,TRUE,,1/30/1948,,,,,0,0,36,35,27,30,,,,,,,,,,,
1/31/1948,0.21,35,27,TRUE,,1/31/1948,,,,,0,0,36,31,27,30,,,,,,,,,,,
2/1/1948,0.03,39,30,TRUE,,2/1/1948,,,,,0,0,34,30,17,23,,,,,,,,,,,
2/2/1948,0,43,26,FALSE,,2/2/1948,,,,,0.29,0,30,35,16,35,,,,,,,,,,,
2/3/1948,0.2,38,26,TRUE,,2/3/1948,,,,,0,0,30,37,29,30,,,,,,,,,,,
2/4/1948,0.14,39,31,TRUE,,2/4/1948,,,,,0,0,30,31,22,23,,,,,,,,,,,
2/5/1948,0,36,26,FALSE,,2/5/1948,,,,,0,0,30,25,10,18,,,,,,,,,,,
2/6/1948,0,43,20,FALSE,,2/6/1948,,,,,0,0,30,32,16,32,,,,,,,,,,,
2/7/1948,0.06,43,27,TRUE,,2/7/1948,,,,,0,0,28,32,15,16,,,,,,,,,,,
2/8/1948,0.56,44,35,TRUE,,2/8/1948,,,,,0,0,28,19,16,18,,,,,,,,,,,
2/9/1948,0,45,32,FALSE,,2/9/1948,,,,,0,0,28,25,18,19,,,,,,,,,,,
2/10/1948,0,39,27,FALSE,,2/10/1948,,,,,0,0,28,20,5,15,,,,,,,,,,,
2/11/1948,0,46,23,FALSE,,2/11/1948,,,,,0.22,0,24,38,11,38,,,,,,,,,,,
2/12/1948,0,43,26,FALSE,,2/12/1948,,,,,0,0,24,39,33,34,,,,,,,,,,,
2/13/1948,0,47,35,FALSE,,2/13/1948,,,,,0.15,4,28,34,18,19,,,,,,,,,,,
2/14/1948,0.5,46,39,TRUE,,2/14/1948,,,,,0,0,28,19,5,6,,,,,,,,,,,
2/15/1948,0.35,45,37,TRUE,,2/15/1948,,,,,0,0,28,6,0,2,,,,,,,,,,,
2/16/1948,0.84,52,37,TRUE,,2/16/1948,,,,,0,0,28,7,-3,5,,,,,,,,,,,
2/17/1948,0.13,57,46,TRUE,,2/17/1948,,,,,0.2,2,30,11,-1,10,,,,,,,,,,,
2/18/1948,0.01,49,32,TRUE,,2/18/1948,,,,,0,0,30,14,5,10,,,,,,,,,,,
2/19/1948,0,45,30,FALSE,,2/19/1948,,,,,0,0,30,12,3,11,,,,,,,,,,,
2/20/1948,0.74,45,35,TRUE,,2/20/1948,,,,,0.27,3,33,18,10,18,,,,,,,,,,,
2/21/1948,0.46,49,37,TRUE,,2/21/1948,,,,,0.27,3,36,23,18,22,,,,,,,,,,,
2/22/1948,0.11,47,38,TRUE,,2/22/1948,,,,,0,0,36,26,19,25,,,,,,,,,,,
2/23/1948,0,47,36,FALSE,,2/23/1948,,,,,0,0,36,25,20,23,,,,,,,,,,,
2/24/1948,0.05,44,36,TRUE,,2/24/1948,,,,,0.15,0,36,38,22,38,,,,,,,,,,,
2/25/1948,0.98,47,41,TRUE,,2/25/1948,,,,,0.6,6,42,41,34,37,,,,,,,,,,,
2/26/1948,0.09,49,37,TRUE,,2/26/1948,,,,,0,0,42,38,25,31,,,,,,,,,,,
2/27/1948,0,47,35,FALSE,,2/27/1948,,,,,0,0,42,33,15,29,,,,,,,,,,,
2/28/1948,0,50,32,FALSE,,2/28/1948,,,,,0.65,6,48,30,20,25,,,,,,,,,,,
2/29/1948,0,46,34,FALSE,,2/29/1948,,,,,0,0,48,32,22,30,,,,,,,,,,,
3/1/1948,0.19,47,32,TRUE,,3/1/1948,,,,,0,0,48,30,19,24,,,,,,,,,,,
3/2/1948,0,50,31,FALSE,,3/2/1948,,,,,0,0,48,25,18,23,,,,,,,,,,,
3/3/1948,0,52,28,FALSE,,3/3/1948,,,,,0.8,6,54,25,15,24,,,,,,,,,,,
3/4/1948,0,57,31,FALSE,,3/4/1948,,,,,1.25,12,60,30,24,30,,,,,,,,,,,
3/5/1948,0,47,40,FALSE,,3/5/1948,,,,,0.12,12,72,32,27,31,,,,,,,,,,,
3/6/1948,0.06,47,41,TRUE,,3/6/1948,,,,,0.1,2,74,32,25,29,,,,,,,,,,,
3/7/1948,0.16,42,34,TRUE,,3/7/1948,,,,,0,0,74,33,17,29,,,,,,,,,,,
3/8/1948,0.11,42,33,TRUE,,3/8/1948,,,,,0,0,74,36,22,34,,,,,,,,,,,
3/9/1948,0,47,33,FALSE,,3/9/1948,,,,,0,0,74,34,16,20,,,,,,,,,,,
3/10/1948,0,51,31,FALSE,,3/10/1948,,,,,0.2,2,76,30,24,29,,,,,,,,,,,
3/11/1948,0.08,51,31,TRUE,,3/11/1948,,,,,0.1,1,77,35,28,35,,,,,,,,,,,
3/12/1948,0.06,60,37,TRUE,,3/12/1948,,,,,0,0,76,38,25,34,,,,,,,,,,,
3/13/1948,0.02,54,35,TRUE,,3/13/1948,,,,,0,0,76,35,24,35,,,,,,,,,,,
3/14/1948,0,52,34,FALSE,,3/14/1948,,,,,0,0,76,35,17,33,,,,,,,,,,,
3/15/1948,0,52,36,FALSE,,3/15/1948,,,,,0,0,76,40,29,37,,,,,,,,,,,
3/16/1948,0,50,33,FALSE,,3/16/1948,,,,,0,0,76,38,29,33,,,,,,,,,,,
3/17/1948,0.01,50,36,TRUE,,3/17/1948,,,,,0.1,1,77,39,32,36,,,,,,,,,,,
3/18/1948,0.13,48,35,TRUE,,3/18/1948,,,,,0.12,3,79,40,32,38,,,,,,,,,,,
3/19/1948,0,47,33,FALSE,,3/19/1948,,,,,0,0,79,38,18,32,,,,,,,,,,,
3/20/1948,0.06,44,33,TRUE,,3/20/1948,,,,,0.16,1,80,32,23,28,,,,,,,,,,,
3/21/1948,2.04,46,37,TRUE,,3/21/1948,,,,,1.74,12,92,32,28,30,,,,,,,,,,,
3/22/1948,0.03,44,30,TRUE,,3/22/1948,,,,,0,0,92,33,25,26,,,,,,,,,,,
3/23/1948,0,54,31,FALSE,,3/23/1948,,,,,0,0,90,28,18,25,,,,,,,,,,,
3/24/1948,0.4,54,36,TRUE,,3/24/1948,,,,,0,0,90,30,22,29,,,,,,,,,,,
3/25/1948,0.33,50,35,TRUE,,3/25/1948,,,,,0,0,89,30,20,30,,,,,,,,,,,
3/26/1948,0,56,36,FALSE,,3/26/1948,,,,,0,0,89,34,13,29,,,,,,,,,,,
3/27/1948,0,70,38,FALSE,,3/27/1948,,,,,0,0,88,34,14,32,,,,,,,,,,,
3/28/1948,0,64,39,FALSE,,3/28/1948,,,,,0.05,0,88,38,29,38,,,,,,,,,,,
3/29/1948,0,49,39,FALSE,,3/29/1948,,,,,0.03,0,88,40,34,38,,,,,,,,,,,
3/30/1948,0,54,38,FALSE,,3/30/1948,,,,,0.06,0,85,40,33,40,,,,,,,,,,,
3/31/1948,0,53,40,FALSE,,3/31/1948,,,,,0.03,0,85,40,29,32,,,,,,,,,,,
4/1/1948,0.17,46,37,TRUE,,4/1/1948,,,,,0,0,85,34,28,28,,,,,,,,,,,
4/2/1948,0.34,45,33,TRUE,,4/2/1948,,,,,0,0,85,35,28,28,,,,,,,,,,,
4/3/1948,0.03,47,32,TRUE,,4/3/1948,,,,,0,0,85,38,28,30,,,,,,,,,,,
4/4/1948,0.19,49,31,TRUE,,4/4/1948,,,,,0,0,85,38,30,30,,,,,,,,,,,
4/5/1948,0.08,51,32,TRUE,,4/5/1948,,,,,0,0,82,36,29,29,,,,,,,,,,,
4/6/1948,0.09,44,34,TRUE,,4/6/1948,,,,,0.15,4.3,82,38,29,32,,,,,,,,,,,
4/7/1948,0,55,30,FALSE,,4/7/1948,,,,,0,0,82,38,32,34,,,,,,,,,,,
4/8/1948,0.11,59,32,TRUE,,4/8/1948,,,,,0,0,82,39,34,34,,,,,,,,,,,
4/9/1948,0.54,50,39,TRUE,,4/9/1948,,,,,0,0,80,38,32,32,,,,,,,,,,,
4/10/1948,0.18,53,38,TRUE,,4/10/1948,,,,,0,0,80,36,28,28,,,,,,,,,,,
4/11/1948,0,51,38,FALSE,,4/11/1948,,,,,0,0,80,38,28,36,,,,,,,,,,,
4/12/1948,0.03,50,39,TRUE,,4/12/1948,,,,,0,0,72,39,34,34,,,,,,,,,,,
4/13/1948,0.01,59,39,TRUE,,4/13/1948,,,,,0,0,72,38,32,32,,,,,,,,,,,
4/14/1948,0,63,42,FALSE,,4/14/1948,,,,,0,0,72,39,32,34,,,,,,,,,,,
4/15/1948,0.33,65,47,TRUE,,4/15/1948,,,,,0,0,64,39,34,34,,,,,,,,,,,
4/16/1948,0,62,43,FALSE,,4/16/1948,,,,,0,0,64,40,34,38,,,,,,,,,,,
4/17/1948,0.37,54,44,TRUE,,4/17/1948,,,,,1.03,0,64,40,36,36,,,,,,,,,,,
4/18/1948,0,58,41,FALSE,,4/18/1948,,,,,0,0,59,40,34,34,,,,,,,,,,,
4/19/1948,0,61,37,FALSE,,4/19/1948,,,,,0,0,59,38,32,32,,,,,,,,,,,
4/20/1948,0,66,39,FALSE,,4/20/1948,,,,,0,0,59,36,32,32,,,,,,,,,,,
4/21/1948,0.09,55,44,TRUE,,4/21/1948,,,,,0,0,52,40,32,36,,,,,,,,,,,
4/22/1948,0.24,57,43,TRUE,,4/22/1948,,,,,0,0,52,40,36,38,,,,,,,,,,,
4/23/1948,0.02,55,42,TRUE,,4/23/1948,,,,,0,0,52,42,38,39,,,,,,,,,,,
4/24/1948,0.7,46,40,TRUE,,4/24/1948,,,,,0,0,41,42,38,38,,,,,,,,,,,
4/25/1948,0.02,49,34,TRUE,,4/25/1948,,,,,0,0,41,40,36,36,,,,,,,,,,,
4/26/1948,0,50,32,FALSE,,4/26/1948,,,,,1.04,0,41,43,36,40,,,,,,,,,,,
